INFO | 2013-12-01T12:11:59+00:00 | GET | [anon @ 109.149.31.57] | /
INFO | 2013-12-01T12:12:04+00:00 | GET | [anon @ 109.149.31.57] | /login
INFO | 2013-12-01T12:12:06+00:00 | POST | [anon @ 109.149.31.57] | /login
INFO | 2013-12-01T12:12:06+00:00 | ACTION.LOGIN | [user004 @ 109.149.31.57] | {"user_agent":"Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit\/537.71 (KHTML, like Gecko) Version\/6.1 Safari\/537.71"}
INFO | 2013-12-01T12:12:06+00:00 | GET | [user004 @ 109.149.31.57] | /me/
INFO | 2013-12-01T12:12:10+00:00 | GET | [user004 @ 109.149.31.57] | /me/essay/
INFO | 2013-12-01T12:12:14+00:00 | GET | [user004 @ 109.149.31.57] | /me/essay/2/drafts/
INFO | 2013-12-01T12:12:18+00:00 | GET | [user004 @ 109.149.31.57] | /me/essay/2/submit/
INFO | 2013-12-01T12:13:03+00:00 | POST | [user004 @ 109.149.31.57] | /me/essay/2/submit/
INFO | 2013-12-01T12:13:33+00:00 | GET | [user004 @ 109.149.31.57] | /me/essay/2/drafts/
INFO | 2013-12-01T12:13:37+00:00 | GET | [user004 @ 109.149.31.57] | /me/draft/13/show/
INFO | 2013-12-01T12:13:39+00:00 | POST | [user004 @ 109.149.31.57] | /tutor/logactivity
INFO | 2013-12-01T12:13:39+00:00 | ACTION.MASHUP.INIT | [user004 @ 109.149.31.57] | [{"name":"structure","value":"#-s:t#"},{"name":"structure","value":"#-s:h#"},{"name":"structure","value":"#+s:i#"},{"name":"structure","value":"#+s#"},{"name":"structure","value":"#+s:c#"},{"name":"structure","value":"#-s:q#;#-s:n#;#-s:p#;#dummy#;#+s:p#"},{"name":"task","value":"show"}]
INFO | 2013-12-01T12:13:48+00:00 | GET | [user004 @ 109.149.31.57] | /me/draft/13/show/keyword
INFO | 2013-12-01T12:13:49+00:00 | POST | [user004 @ 109.149.31.57] | /tutor/logactivity
INFO | 2013-12-01T12:13:49+00:00 | ACTION.MASHUP.INIT | [user004 @ 109.149.31.57] | [{"name":"structure","value":"#-s:t#"},{"name":"structure","value":"#-s:h#"},{"name":"structure","value":"#+s:i#"},{"name":"structure","value":"#+s#"},{"name":"structure","value":"#+s:c#"},{"name":"structure","value":"#-s:q#;#-s:n#;#-s:p#;#dummy#;#+s:p#"},{"name":"keywords","value":"category_all"},{"name":"task","value":"show"}]
INFO | 2013-12-01T12:14:02+00:00 | GET | [user004 @ 109.149.31.57] | /me/report
INFO | 2013-12-01T12:14:06+00:00 | GET | [user004 @ 109.149.31.57] | /me/draft/13/show/keyword
INFO | 2013-12-01T12:14:08+00:00 | POST | [user004 @ 109.149.31.57] | /tutor/logactivity
INFO | 2013-12-01T12:14:08+00:00 | ACTION.MASHUP.INIT | [user004 @ 109.149.31.57] | [{"name":"structure","value":"#-s:t#"},{"name":"structure","value":"#-s:h#"},{"name":"structure","value":"#+s:i#"},{"name":"structure","value":"#+s#"},{"name":"structure","value":"#+s:c#"},{"name":"structure","value":"#-s:q#;#-s:n#;#-s:p#;#dummy#;#+s:p#"},{"name":"keywords","value":"category_all"},{"name":"task","value":"show"}]
